;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0000_1;IMG_0000;1575454686.0;2019-12-04 11:18:06.399650+00:00;0.001305;100;0.001305;2.8;60.07662835249041;646416.8987458276;5676513.183540095;32631;0.028646926091427178;0.034109591437458134;-2.3606187691290583;0.0149038891357143;0.014822386944924592;0.0010591267097790791;0.010499638534351697;0.01947571899124692;0.25061413975433733;0.25061413975433733;0.21687134221290325;70.88786829489027;16.56165830007776;177.22197009274407
IMG_0000_2;IMG_0000;1575454686.0;2019-12-04 11:18:06.399650+00:00;0.00108;100;0.00108;2.8;72.59259259259258;646416.8987458276;5676513.183540095;32631;0.028646926091427178;0.034109591437458134;-2.3606187691290583;0.011880662731877342;0.01175861225403074;0.0010232831339164912;0.008072724975944627;0.01691725409605804;0.2440041206865324;0.2440041206865324;0.21115129900746826;70.88786829489027;16.56165830007776;177.22197009274407
IMG_0000_3;IMG_0000;1575454686.0;2019-12-04 11:18:06.399650+00:00;0.0011475;200;0.0011475;2.8;34.16122004357298;646416.8987458276;5676513.183540095;32631;0.028646926091427178;0.034109591437458134;-2.3606187691290583;0.012044317206385007;0.012003975765113105;0.000775043989909282;0.008933027571124479;0.016480044807311817;0.19107588243200804;0.19107588243200804;0.16534934193323908;70.88786829489027;16.56165830007776;177.22197009274407
IMG_0000_4;IMG_0000;1575454686.0;2019-12-04 11:18:06.399650+00:00;0.0012375;200;0.0012375;2.8;31.676767676767668;646416.8987458276;5676513.183540095;32631;0.028646926091427178;0.034109591437458134;-2.3606187691290583;0.017619852609906186;0.01759182111213591;0.0008867321079853999;0.013888265436911566;0.021742865468869933;0.08919850717249914;0.08919850717249914;0.07718878109930097;70.88786829489027;16.56165830007776;177.22197009274407
IMG_0000_5;IMG_0000;1575454686.0;2019-12-04 11:18:06.399650+00:00;0.0015975;200;0.0015975;2.8;24.538341158059463;646416.8987458276;5676513.183540095;32631;0.028646926091427178;0.034109591437458134;-2.3606187691290583;0.00979146447888037;0.009765446263161798;0.0006360194468263546;0.007218672286039786;0.013188067922616394;0.16015339121408528;0.16015339121408528;0.1385902684764448;70.88786829489027;16.56165830007776;177.22197009274407
IMG_0049_1;IMG_0049;1575455176.0;2019-12-04 11:26:16.399759+00:00;0.001305;100;0.001305;2.8;60.07662835249041;646418.3520728004;5676515.395029652;32631;0.031716097726570976;0.031145457869930757;-2.3507378084532142;0.015424353571511812;0.01532171164495352;0.0011395450683731297;0.011615740605366284;0.021067030092404734;0.25321970239232416;0.25321970239232416;0.21919756612067381;70.85299453683355;16.600739093655896;179.1924382224209
IMG_0049_2;IMG_0049;1575455176.0;2019-12-04 11:26:16.399759+00:00;0.00108;100;0.00108;2.8;72.59259259259258;646418.3520728004;5676515.395029652;32631;0.031716097726570976;0.031145457869930757;-2.3507378084532142;0.012276766263701222;0.012140990279707256;0.0011080651967784482;0.00835308487545163;0.017821464217105534;0.2494013105444768;0.2494013105444768;0.21589220642063597;70.85299453683355;16.600739093655896;179.1924382224209
IMG_0049_3;IMG_0049;1575455176.0;2019-12-04 11:26:16.399759+00:00;0.0011475;200;0.0011475;2.8;34.16122004357298;646418.3520728004;5676515.395029652;32631;0.031716097726570976;0.031145457869930757;-2.3507378084532142;0.012488541036999248;0.012440978299351086;0.0008046259240397477;0.009408886172503654;0.0164990254830034;0.1963457200555399;0.1963457200555399;0.16996506807240502;70.85299453683355;16.600739093655896;179.1924382224209
IMG_0049_4;IMG_0049;1575455176.0;2019-12-04 11:26:16.399759+00:00;0.0012375;200;0.0012375;2.8;31.676767676767668;646418.3520728004;5676515.395029652;32631;0.031716097726570976;0.031145457869930757;-2.3507378084532142;0.01846522135577213;0.01844972753279747;0.0009016687831048818;0.014634486347860383;0.023045568454452357;0.09111924722201971;0.09111924722201971;0.0788766317514641;70.85299453683355;16.600739093655896;179.1924382224209
IMG_0049_5;IMG_0049;1575455176.0;2019-12-04 11:26:16.399759+00:00;0.0015975;200;0.0015975;2.8;24.538341158059463;646418.3520728004;5676515.395029652;32631;0.031716097726570976;0.031145457869930757;-2.3507378084532142;0.010181787963619234;0.01014947597325241;0.0006640312714091025;0.007804770604755517;0.01363178337554763;0.16355472225508855;0.16355472225508855;0.141579808787205;70.85299453683355;16.600739093655896;179.1924382224209
