;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0009_1;IMG_0009;1575543016;2019-12-05 11:50:16.650420+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.8992;5676517.062;32631;0.024572268;0.076401985;-2.456278698;0.008737727;0.008728111;0.000472284;0.006721352;0.011001619;0.160702229;0.160702229;0.14926281;69.55228511;16.337245;184.8759906
IMG_0009_2;IMG_0009;1575543016;2019-12-05 11:50:16.650420+00:00;0.00162;200;0.00162;2.8;24.19753086;646417.8992;5676517.062;32631;0.024572268;0.076401985;-2.456278698;0.006777108;0.006758802;0.00036293;0.005234648;0.00912701;0.133856402;0.133856402;0.124327975;69.55228511;16.337245;184.8759906
IMG_0009_3;IMG_0009;1575543016;2019-12-05 11:50:16.650420+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.8992;5676517.062;32631;0.024572268;0.076401985;-2.456278698;0.006738118;0.006738647;0.000368547;0.0050673;0.008723032;0.117980776;0.117980776;0.109582439;69.55228511;16.337245;184.8759906
IMG_0009_4;IMG_0009;1575543016;2019-12-05 11:50:16.650420+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.8992;5676517.062;32631;0.024572268;0.076401985;-2.456278698;0.007853109;0.007843404;0.000422303;0.005985829;0.009757963;0.071031992;0.071031992;0.065975654;69.55228511;16.337245;184.8759906
IMG_0009_5;IMG_0009;1575543016;2019-12-05 11:50:16.650420+00:00;0.00135;800;0.00135;2.8;7.259259259;646417.8992;5676517.062;32631;0.024572268;0.076401985;-2.456278698;0.005438031;0.005436309;0.000433485;0.003403214;0.008149287;0.100857064;0.100857064;0.09367766;69.55228511;16.337245;184.8759906
IMG_0010_1;IMG_0010;1575543026;2019-12-05 11:50:26.679340+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.9274;5676517.297;32631;0.024859444;0.075904391;-2.45897687;0.008915959;0.008904935;0.000486181;0.006913072;0.011423466;0.160489258;0.160489258;0.14903128;69.55908565;16.33500272;184.9161717
IMG_0010_2;IMG_0010;1575543026;2019-12-05 11:50:26.679340+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.9274;5676517.297;32631;0.024859444;0.075904391;-2.45897687;0.006916426;0.006900368;0.000378103;0.005382962;0.00934055;0.134320063;0.134320063;0.12473041;69.55908565;16.33500272;184.9161717
IMG_0010_3;IMG_0010;1575543026;2019-12-05 11:50:26.679340+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.9274;5676517.297;32631;0.024859444;0.075904391;-2.45897687;0.006907626;0.006907624;0.000371902;0.005190427;0.008818437;0.118381551;0.118381551;0.109929813;69.55908565;16.33500272;184.9161717
IMG_0010_4;IMG_0010;1575543026;2019-12-05 11:50:26.679340+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.9274;5676517.297;32631;0.024859444;0.075904391;-2.45897687;0.008038096;0.008032543;0.000425525;0.006079679;0.01009944;0.071493228;0.071493228;0.066389037;69.55908565;16.33500272;184.9161717
IMG_0010_5;IMG_0010;1575543026;2019-12-05 11:50:26.679340+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.9274;5676517.297;32631;0.024859444;0.075904391;-2.45897687;0.005529445;0.005528556;0.000464563;0.003055108;0.007866726;0.101216364;0.101216364;0.093990118;69.55908565;16.33500272;184.9161717
