;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0308_1;IMG_0308;1575457896.0;2019-12-04 12:11:36.400365+00:00;0.0017325;100;0.0017325;2.8;45.252525252525245;646420.5455358934;5676513.710496844;32631;-0.008026991972785955;0.0739223226324226;2.6951308087750716;0.01448501860384034;0.014483776712897661;0.0006462146138821728;0.012348145334930916;0.016518169051100123;0.19289365977995893;0.19289365977995893;0.17939113857441902;69.77329637818583;16.02345900023176;190.0996200891768
IMG_0308_2;IMG_0308;1575457896.0;2019-12-04 12:11:36.400365+00:00;0.0013275;100;0.0013275;2.8;59.058380414312616;646420.5455358934;5676513.710496844;32631;-0.008026991972785955;0.0739223226324226;2.6951308087750716;0.012217292213359036;0.012211865810497938;0.0005254934698267606;0.010478734277021784;0.014162286326363948;0.184836698227828;0.184836698227828;0.1718981628698995;69.77329637818583;16.02345900023176;190.0996200891768
IMG_0308_3;IMG_0308;1575457896.0;2019-12-04 12:11:36.400365+00:00;0.001215;200;0.001215;2.8;32.26337448559671;646420.5455358934;5676513.710496844;32631;-0.008026991972785955;0.0739223226324226;2.6951308087750716;0.012605445848144702;0.01259414078720408;0.0006224622293388488;0.010293779253940802;0.0151493322680235;0.181425838900032;0.181425838900032;0.16872606307652893;69.77329637818583;16.02345900023176;190.0996200891768
IMG_0308_4;IMG_0308;1575457896.0;2019-12-04 12:11:36.400365+00:00;0.0010575;200;0.0010575;2.8;37.06855791962174;646420.5455358934;5676513.710496844;32631;-0.008026991972785955;0.0739223226324226;2.6951308087750716;0.019272158335257174;0.019275643672788573;0.0007747662226945537;0.016320678530021712;0.022551959394241743;0.07843842524633023;0.07843842524633023;0.07294774970299767;69.77329637818583;16.02345900023176;190.0996200891768
IMG_0308_5;IMG_0308;1575457896.0;2019-12-04 12:11:36.400365+00:00;0.0015975;200;0.0015975;2.8;24.538341158059463;646420.5455358934;5676513.710496844;32631;-0.008026991972785955;0.0739223226324226;2.6951308087750716;0.01154350607430625;0.011501357690929201;0.0006116920894105275;0.009498548723952411;0.014255985638018037;0.12901956566780448;0.12901956566780448;0.11998821946727957;69.77329637818583;16.02345900023176;190.0996200891768
IMG_0318_1;IMG_0318;1575457996.0;2019-12-04 12:13:16.400391+00:00;0.0017325;100;0.0017325;2.8;45.252525252525245;646419.9742387257;5676514.139321667;32631;-0.009601487382428272;0.0727808330513265;2.686562760478047;0.014255468422875513;0.014261324372312796;0.0006439569459668335;0.012413471603851294;0.016137477295572685;0.19154155062862138;0.19154155062862138;0.1777324142478415;69.85949672793427;15.9768261406808;190.49766428943846
IMG_0318_2;IMG_0318;1575457996.0;2019-12-04 12:13:16.400391+00:00;0.0013275;100;0.0013275;2.8;59.058380414312616;646419.9742387257;5676514.139321667;32631;-0.009601487382428272;0.0727808330513265;2.686562760478047;0.012003033949998758;0.012002609375769049;0.0005200502674180214;0.010142890663551616;0.013883852612381446;0.18261039054367206;0.18261039054367206;0.16944514373800987;69.85949672793427;15.9768261406808;190.49766428943846
IMG_0318_3;IMG_0318;1575457996.0;2019-12-04 12:13:16.400391+00:00;0.001215;200;0.001215;2.8;32.26337448559671;646419.9742387257;5676514.139321667;32631;-0.009601487382428272;0.0727808330513265;2.686562760478047;0.012416126760049814;0.012406041598622363;0.0006198763772043367;0.01026106084799623;0.015603098479876336;0.17979820322046444;0.17979820322046444;0.16683570030064335;69.85949672793427;15.9768261406808;190.49766428943846
IMG_0318_4;IMG_0318;1575457996.0;2019-12-04 12:13:16.400391+00:00;0.0010575;200;0.0010575;2.8;37.06855791962174;646419.9742387257;5676514.139321667;32631;-0.009601487382428272;0.0727808330513265;2.686562760478047;0.019032883764628514;0.019049621967761325;0.0007777363520645224;0.015654810021472745;0.022371946223973437;0.07794350100841813;0.07794350100841813;0.07232418534615959;69.85949672793427;15.9768261406808;190.49766428943846
IMG_0318_5;IMG_0318;1575457996.0;2019-12-04 12:13:16.400391+00:00;0.0015975;200;0.0015975;2.8;24.538341158059463;646419.9742387257;5676514.139321667;32631;-0.009601487382428272;0.0727808330513265;2.686562760478047;0.011369608727966973;0.011334108641617966;0.0006073598592175244;0.009328416463424555;0.014125537170844481;0.1277773876589017;0.1277773876589017;0.11856531139257388;69.85949672793427;15.9768261406808;190.49766428943846
IMG_0333_1;IMG_0333;1575458146.0;2019-12-04 12:15:46.400431+00:00;0.0017325;100;0.0017325;2.8;45.252525252525245;646420.0240685462;5676514.107359095;32631;-0.002949927626769176;0.07462897585985233;2.6857137630362966;0.014218055064815254;0.014222794949202849;0.0006452604111456981;0.012215220508440558;0.01649015900582458;0.1916782670260448;0.1916782670260448;0.1777947221873761;69.92533425028681;15.903556517902889;191.09412865985536
IMG_0333_2;IMG_0333;1575458146.0;2019-12-04 12:15:46.400431+00:00;0.0013275;100;0.0013275;2.8;59.058380414312616;646420.0240685462;5676514.107359095;32631;-0.002949927626769176;0.07462897585985233;2.6857137630362966;0.011968014922914369;0.011955974257372708;0.0005229057098016618;0.010163859345909403;0.014744243561730944;0.1825333340731903;0.1825333340731903;0.1693121704667159;69.92533425028681;15.903556517902889;191.09412865985536
IMG_0333_3;IMG_0333;1575458146.0;2019-12-04 12:15:46.400431+00:00;0.001215;200;0.001215;2.8;32.26337448559671;646420.0240685462;5676514.107359095;32631;-0.002949927626769176;0.07462897585985233;2.6857137630362966;0.012393567105059324;0.012389810100788008;0.0006221294644676094;0.010202990933170612;0.015130237921331054;0.179668291955861;0.179668291955861;0.1666546476540932;69.92533425028681;15.903556517902889;191.09412865985536
IMG_0333_4;IMG_0333;1575458146.0;2019-12-04 12:15:46.400431+00:00;0.0010575;200;0.0010575;2.8;37.06855791962174;646420.0240685462;5676514.107359095;32631;-0.002949927626769176;0.07462897585985233;2.6857137630362966;0.018947071872258515;0.018955678106686868;0.0007656542541043376;0.01620425472676759;0.02168183189552829;0.07814115344215142;0.07814115344215142;0.07248127230699909;69.92533425028681;15.903556517902889;191.09412865985536
